DEBUG 2025-03-04 12:27:59,276 autoreload File /usr/local/lib/python3.10/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1740867318.147751
DEBUG 2025-03-04 12:27:59,276 autoreload File /usr/local/lib/python3.10/site-packages/pandas/core/indexes/datetimes.py first seen with mtime 1740863749.556189
DEBUG 2025-03-04 12:27:59,277 autoreload File /usr/local/lib/python3.10/site-packages/django/views/decorators/common.py first seen with mtime 1740867319.5377445
DEBUG 2025-03-04 12:27:59,277 autoreload File /usr/local/lib/python3.10/site-packages/pandas/compat/_constants.py first seen with mtime 1740863751.5161796
DEBUG 2025-03-04 12:27:59,277 autoreload File /usr/local/lib/python3.10/site-packages/django/template/loaders/filesystem.py first seen with mtime 1740867319.4577448
DEBUG 2025-03-04 12:27:59,278 autoreload File /usr/local/lib/python3.10/site-packages/rest_framework/schemas/generators.py first seen with mtime 1740867321.6277344
DEBUG 2025-03-04 12:27:59,278 autoreload File /usr/local/lib/python3.10/site-packages/numpy/lib/_npyio_impl.py first seen with mtime 1740863738.6262286
DEBUG 2025-03-04 12:27:59,278 autoreload File /usr/local/lib/python3.10/lib-dynload/_zoneinfo.cpython-310-x86_64-linux-gnu.so first seen with mtime 1740460857.0
DEBUG 2025-03-04 12:27:59,278 autoreload File /usr/local/lib/python3.10/site-packages/psycopg2/_psycopg.cpython-310-x86_64-linux-gnu.so first seen with mtime 1740863738.3062294
DEBUG 2025-03-04 12:27:59,279 autoreload File /usr/local/lib/python3.10/site-packages/rest_framework_simplejwt/authentication.py first seen with mtime 1740867321.9677327
DEBUG 2025-03-04 12:27:59,279 autoreload File /usr/local/lib/python3.10/site-packages/django/db/migrations/__init__.py first seen with mtime 1740867318.7177484
DEBUG 2025-03-04 12:27:59,279 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/admin/checks.py first seen with mtime 1740867315.5377638
DEBUG 2025-03-04 12:27:59,280 autoreload File /usr/local/lib/python3.10/site-packages/django/db/backends/__init__.py first seen with mtime 1740867318.4377499
DEBUG 2025-03-04 12:27:59,280 autoreload File /usr/local/lib/python3.10/site-packages/psycopg2/extras.py first seen with mtime 1740863738.3062294
DEBUG 2025-03-04 12:27:59,280 autoreload File /usr/local/lib/python3.10/site-packages/pandas/core/_numba/executor.py first seen with mtime 1740863749.8461878
